--- ==================================================================================================
--- Cuts                          Classifier   (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg
--- --------------------------------------------------------------------------------------------------
--- l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5170    0.0549655  5.886639  11463.86   0.9811   0.9553
--- GEta_l2Eta       BDTG:  (        6,    12000)      -0.4857    0.0559381  5.567961  9902.239    0.928   0.8252
--- threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.4309    0.0568065  5.440649  9167.421   0.9068    0.764
--- comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5185    0.0547999  5.956386  11808.29   0.9927    0.984
--- bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.4777    0.0568089  5.779867  10345.71   0.9633   0.8621
--- smallTheta_l2Eta       BDTG:  (        6,    12000)      -0.4470    0.0548327  5.824795  11278.67   0.9708   0.9399
--- GEta_l1Eta       BDTG:  (        6,    12000)      -0.5068    0.0568309  5.610958  9742.147   0.9352   0.8118
--- l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.4255    0.0572063  5.392456   8880.18   0.8987     0.74
--- comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6725    0.0547796  5.999088  11987.13   0.9998   0.9989
--- bigTheta_l1Eta       BDTG:  (        6,    12000)      -0.4824    0.0566138  5.720079  10202.72   0.9533   0.8502
--- smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.6875    0.0548901  5.989935  11902.49   0.9983   0.9919
--- GEta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.4774    0.0570029  5.475312  9220.747   0.9126   0.7684
--- GEta_comPhi       BDTG:  (        6,    12000)      -0.6124    0.0547921  5.920918  11671.38   0.9868   0.9726
--- GEta_bigTheta       BDTG:  (        6,    12000)      -0.4007    0.0575281  5.132266  7953.856   0.8554   0.6628
--- smallTheta_GEta       BDTG:  (        6,    12000)      -0.7286    0.0548454  5.994492  11940.06   0.9991    0.995
--- comPhi_threeBodyPtOM       BDTG:  (        6,    12000)      -0.4984    0.0565663   5.67351   10054.1   0.9456   0.8378
--- bigTheta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.3571     0.060179  5.096434  7166.955   0.8494   0.5972
--- smallTheta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.4680    0.0567322  5.558166  9592.958   0.9264   0.7994
--- bigTheta_comPhi       BDTG:  (        6,    12000)      -0.3864    0.0569754  5.509238  9344.408   0.9182   0.7787
