--- ==================================================================================================
--- Cuts                          Classifier   (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg
--- --------------------------------------------------------------------------------------------------
--- comPhi_l1Eta       BDTG:  (        6,    12000)      -0.7080    0.0547595         6   11999.6        1        1
--- comPhi_l2Eta       BDTG:  (        6,    12000)      -0.6516    0.0547599         6   11999.4        1   0.9999
--- comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.7333    0.0547607         6  11999.06        1   0.9999
--- l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.7500    0.0547617         6  11998.62        1   0.9999
--- GEta_comPhi       BDTG:  (        6,    12000)      -0.6372    0.0547884         6  11986.95        1   0.9989
--- smallTheta_comPhi       BDTG:  (        6,    12000)      -0.5617    0.0549368   5.92963  11644.12   0.9883   0.9703
--- smallTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.7494    0.0549399  5.988666  11875.87   0.9981   0.9897
--- smallTheta_l2Eta       BDTG:  (        6,    12000)      -0.7687    0.0549406  5.989559  11879.12   0.9983   0.9899
--- smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.5642     0.054981  5.925675  11609.91   0.9876   0.9675
--- smallTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6525    0.0549931  5.971164  11783.69   0.9952    0.982
--- smallTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6503    0.0550132  5.979376  11807.49   0.9966    0.984
--- smallTheta_GEta       BDTG:  (        6,    12000)      -0.5506    0.0550391  5.861666  11336.39   0.9769   0.9447
--- smallTheta_comPhi_GEta       BDTG:  (        6,    12000)      -0.5559    0.0550682  5.876538  11381.95   0.9794   0.9485
--- smallTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.4993    0.0550702  5.850438  11280.25   0.9751     0.94
--- GEta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5219    0.0552005  5.782962  10969.48   0.9638   0.9141
--- GEta_l2Eta       BDTG:  (        6,    12000)      -0.6091    0.0553709  5.913774  11400.96   0.9856   0.9501
--- smallTheta_comPhi_l2Eta_GEta       BDTG:  (        6,    12000)      -0.4759    0.0555807  5.634436  10271.06   0.9391   0.8559
--- smallTheta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.5085    0.0556655  5.719535   10551.5   0.9533   0.8793
--- GEta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5221     0.055837  5.736864   10550.4   0.9561   0.8792
--- GEta_l1Eta       BDTG:  (        6,    12000)      -0.5141    0.0558509  5.690972  10377.07   0.9485   0.8648
--- smallTheta_comPhi_l1Eta_GEta       BDTG:  (        6,    12000)      -0.4093    0.0560452  5.519092  9691.957   0.9198   0.8077
--- smallTheta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.4056    0.0562034  5.448904  9393.801   0.9082   0.7828
--- GEta_bigTheta_comPhi       BDTG:  (        6,    12000)      -0.5948     0.056239  5.765268  10503.28   0.9609   0.8753
--- bigTheta_comPhi       BDTG:  (        6,    12000)      -0.5474      0.05625  5.843042  10784.46   0.9738   0.8987
--- bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.6201    0.0562961  5.857691  10820.84   0.9763   0.9017
