--- ==================================================================================================
--- Cuts                          Classifier   (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg
--- --------------------------------------------------------------------------------------------------
--- comPhi_l2Eta       BDTG:  (        6,    12000)      -0.6260    0.0547715         6  11994.33        1   0.9995
--- comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6579    0.0547771  5.997454  11981.69   0.9996   0.9985
--- l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5959    0.0547931  5.985357  11926.42   0.9976   0.9939
--- comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5823    0.0547975  5.991805  11950.22   0.9986   0.9959
--- smallTheta_l2Eta       BDTG:  (        6,    12000)      -0.7017    0.0548223         6   11972.1        1   0.9977
--- smallTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6642    0.0548252  5.980817  11894.37   0.9968   0.9912
--- smallTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.7105    0.0548346  5.997817     11958   0.9996   0.9965
--- smallTheta_comPhi       BDTG:  (        6,    12000)      -0.5904    0.0548383  5.978008  11877.52   0.9963   0.9898
--- smallTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6809    0.0548958  5.995162  11920.79   0.9992   0.9934
--- smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.5961    0.0549198  5.974503  11828.42   0.9958   0.9857
--- smallTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5775    0.0549474  5.957568   11749.6   0.9929   0.9791
--- GEta_comPhi       BDTG:  (        6,    12000)      -0.5471    0.0551217  5.916644  11515.49   0.9861   0.9596
--- smallTheta_GEta       BDTG:  (        6,    12000)      -0.5836    0.0552572  5.925208  11492.28   0.9875   0.9577
--- smallTheta_comPhi_GEta       BDTG:  (        6,    12000)      -0.4910    0.0554586   5.77164  10825.02   0.9619   0.9021
--- GEta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5143    0.0555388  5.777024  10813.92   0.9628   0.9012
--- GEta_l2Eta       BDTG:  (        6,    12000)      -0.5705    0.0555886  5.893945  11236.02   0.9823   0.9363
--- smallTheta_comPhi_l2Eta_GEta       BDTG:  (        6,    12000)      -0.4781    0.0557109  5.650068  10279.89   0.9417   0.8567
--- GEta_l1Eta       BDTG:  (        6,    12000)      -0.4819     0.055723  5.576361  10009.01   0.9294   0.8341
--- smallTheta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.5545    0.0557235  5.811309  10870.23   0.9686   0.9059
--- GEta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5136    0.0557398  5.646321  10255.61   0.9411   0.8546
